flybase_id	rpkm2	rpkm6	rpkm8	rpkm10	gene_name	cgid	chr	start	stop	strand
FBgn0000075	1.68	3.38	2.63	6.55	amd	CG10501	chr2L	19110159	19114110	+
FBgn0000077	12.77	7.05	6.51	6.05	amx	CG12127	chrX	9139948	9141369	-
FBgn0000078	0.1	0	0	0.04	Amy-d	CG17876	chr2R	13012267	13013887	+
FBgn0000079	0.38	0.07	0.02	0.15	Amy-p	CG18730	chr2R	13006211	13007808	-
FBgn0000083	43.36	50.21	63.01	181.48	AnnIX	CG5730	chr3R	16890951	16896639	+
FBgn0000084	6.16	1.38	0.66	1.33	AnnX	CG9579	chrX	20065478	20067552	-
FBgn0000092	1.28	0.6	0.6	0.75	CG2650	CG2650	chrX	2586764	2587919	-
FBgn0000094	0	0	0.38	0.36	Anp	CG1361	chr3R	26035670	26036011	+
FBgn0000097	29.11	166.23	100.13	32.85	aop	CG3166	chr2L	2156484	2178749	-
FBgn0000099	0.2	12.54	10.18	8.81	ap	CG8376	chr2R	1593707	1614335	-
FBgn0000100	1696.47	1758.93	2066.74	3236.22	RpLP0	CG7490	chr3L	22069142	22070587	+
FBgn0000108	0.98	0.71	2.65	1.81	Appl	CG7727	chrX	425652	472172	+
FBgn0000109	44.31	26.13	14.51	17.63	Aprt	CG18315	chr3L	1883892	1884885	-
FBgn0000114	25.77	1.37	2.53	2.93	aret	CG31762	chr2L	12205843	12312795	+
FBgn0000115	80.5	79.7	63.87	65.87	Arf72A	CG6025	chr3L	15976221	15977463	+
FBgn0000116	29.76	481.87	1268.74	2572.54	Argk	CG32031	chr3L	9041962	9059127	-
FBgn0000117	573.4	615.83	400.95	374.49	arm	CG11579	chrX	1785434	1794673	-
FBgn0000119	28.05	33.01	33.05	21.08	arr	CG5912	chr2R	9341138	9370723	-
FBgn0000120	0.11	0.06	0	0.23	Arr1	CG5711	chr2L	18078266	18080423	+
FBgn0000121	0.58	0.64	1.76	1.38	Arr2	CG5962	chr3L	8640367	8642036	-
FBgn0000137	1.14	17.67	5.8	1.92	ase	CG3258	chrX	354533	357209	+
FBgn0000139	59.32	20.23	15.1	11.18	ash2	CG6677	chr3R	20475769	20479099	+
FBgn0000140	60.02	33.74	10.99	2.41	asp	CG6875	chr3R	20579625	20586235	+
FBgn0000142	14.11	22.77	22.4	8.74	Asx	CG8787	chr2R	10391514	10399951	+
FBgn0000146	23.21	4.32	3.55	3.81	aub	CG6137	chr2L	10997819	11001489	-
FBgn0000147	53.04	32.06	8.52	2.96	aur	CG3068	chr3R	7788852	7790550	+
FBgn0000150	1237.35	264.87	331.97	557.04	awd	CG2210	chr3R	27570894	27571706	-
FBgn0000152	8.76	32.73	34.58	15.85	Axs	CG9703	chrX	16574122	16577928	-
FBgn0000153	0.23	0.24	0.27	0.36	b	CG7811	chr2L	13821203	13823894	+
FBgn0000157	0.02	2.19	2.82	1.28	Dll	CG3629	chr2R	20702353	20722686	+
FBgn0000158	14.29	0.74	2	2.01	bam	CG10422	chr3R	21068761	21070884	-
FBgn0000163	21.04	29.99	19.79	7.17	baz	CG5055	chrX	17054062	17089350	+
FBgn0000166	21.41	0.34	0.21	0.54	bcd	CG1034	chr3R	2581564	2585199	-
FBgn0000171	95.7	169.52	164.11	72.19	bel	CG9748	chr3R	4481309	4486483	-
FBgn0000173	170.26	39.73	37.37	16.1	ben	CG18319	chrX	13890387	13893838	+
FBgn0000179	0.05	2.1	6.08	1.9	bi	CG3578	chrX	4306889	4378485	+
FBgn0000180	105.02	149.92	51.31	23.15	bib	CG4722	chr2L	9984647	9995545	+
FBgn0000181	498.87	733.66	777.58	986.81	bic	CG3644	chr2R	8757742	8759608	+
FBgn0000182	31.24	0.07	0.02	0.06	BicC	CG4824	chr2L	16042032	16048626	+
FBgn0000183	25.34	5.97	12.92	16.52	BicD	CG6605	chr2L	17460834	17473255	-
FBgn0000206	0.01	0.2	0.78	1.51	boss	CG8285	chr3R	21787716	21792670	+
FBgn0000210	0.13	0.14	0.55	0.35	br	CG11491	chrX	1503176	1553962	+
FBgn0000212	150	112.12	90.58	49.08	brm	CG5942	chr3L	15963182	15975969	-
FBgn0000216	124.45	223.15	14.54	2.31	Brd	CG3096	chr3L	14965769	14966301	+
FBgn0000221	17.44	12.99	11.77	9.42	brn	CG4934	chrX	3998377	3999830	+
FBgn0000227	196.01	0.1	0.05	0.02	Bsg25A	CG12205	chr2L	4683050	4684459	-
FBgn0000228	151.22	27.35	50.06	37.03	Bsg25D	CG14025	chr2L	5271724	5278558	-
FBgn0000229	23.49	64.37	35.48	27.18	bsk	CG5680	chr2L	10247502	10250479	-
FBgn0000233	9.29	11.27	2.47	0.56	btd	CG12653	chrX	9588221	9591606	+
FBgn0000239	96.48	35.63	33.18	22.45	bur	CG9242	chr2L	21174383	21179697	-
FBgn0000241	2.57	7.2	11.36	35.97	bw	CG17632	chr2R	19415328	19426016	-
FBgn0000242	2.04	2.5	3.44	2.21	Bx	CG6500	chrX	18428698	18465749	+
FBgn0000244	1.02	3.65	4.57	9.35	by	CG9379	chr3R	5353960	5358734	-
FBgn0000246	6.24	4.82	4.51	1.22	c(3)G	CG17604	chr3R	11615199	11618294	-
FBgn0000247	4.55	12.83	19.14	21.49	ca	CG31037	chr3R	25632970	25640782	+
FBgn0000250	268.43	52.99	41.19	34.34	cact	CG5848	chr2L	16313029	16326101	-
FBgn0000251	37.52	6.47	3.89	3.31	cad	CG1759	chr2L	20770735	20783142	+
FBgn0000253	665.51	31.49	26.58	8.11	Cam	CG8472	chr2R	8146913	8162130	+
FBgn0000256	1.48	2.93	5.93	4.39	capu	CG3399	chr2L	3872658	3902860	-
FBgn0000257	19.08	12.83	15.59	14.94	car	CG12230	chrX	19460052	19463434	+
FBgn0000258	99.49	162.31	111.78	73.52	CkIIalpha	CG17520	chr3L	23092680	23096562	+
FBgn0000259	22.9	61.53	59.46	14.65	CkIIbeta	CG15224	chrX	11686569	11694097	+
FBgn0000261	55.73	30.45	52.55	75.25	Cat	CG6871	chr3L	18815706	18821294	+
FBgn0000273	62.13	26.57	28.75	5.18	Pka-C1	CG4379	chr2L	9684656	9699293	-
FBgn0000274	0.47	0.11	0.11	0.02	Pka-C2	CG12066	chr3R	26521258	26522860	-
FBgn0000276	0	0	0	0	CecA1	CG1365	chr3R	26036596	26037009	+
FBgn0000277	0	0	0	0	CecA2	CG1367	chr3R	26037878	26038291	+
FBgn0000278	0	0	0.09	0.08	CecB	CG1878	chr3R	26039056	26039519	-
FBgn0000279	0	0	0.28	0.17	CecC	CG1373	chr3R	26042206	26042659	+
FBgn0000280	0	0	0	0	Cec-Psi1	CR32926	chr3R	26037249	26037475	+
FBgn0000281	0	0	0	0	Cec2	CR32934	chr3R	26038625	26038864	+
FBgn0000283	201.37	187.02	91.24	42.65	Cp190	CG6384	chr3R	11096146	11100927	-
FBgn0000286	3.71	13.21	32.33	40.42	Cf2	CG11924	chr2L	4877289	4883341	-
FBgn0000287	0.04	1.18	2.35	3.38	salr	CG4881	chr2L	11365305	11373397	+
FBgn0000289	71.06	97.49	84.72	35.99	cg	CG8367	chr2R	10061175	10070345	+
FBgn0000299	0.17	120.73	72.56	127.84	Cg25C	CG4145	chr2L	5029615	5037114	+
FBgn0000303	0.06	0.19	0.29	0.5	Cha	CG12345	chr3R	14531245	14558068	+
FBgn0000307	62.68	43.83	37.06	12.28	chif	CG5813	chr2L	16342428	16352600	-
FBgn0000308	387.42	763.57	864.79	555.87	chic	CG9553	chr2L	5972900	5981025	-
FBgn0000313	0.59	0.54	0.34	0.14	chp	CG1744	chr3R	27029904	27036452	-
FBgn0000316	89.29	33.57	24.99	25.48	cin	CG2945	chrX	148943	152503	+
FBgn0000317	22.12	7.61	13.74	13.38	ck	CG7595	chr2L	15044963	15057848	-
FBgn0000318	172.12	24.38	16.5	56.22	cl	CG11024	chr2L	5520258	5521384	+
FBgn0000319	124.59	175.81	154.95	120.85	Chc	CG9012	chrX	15722019	15729507	-
FBgn0000320	9.19	26.23	14.09	5.34	eya	CG9554	chr2L	6527449	6546972	-
FBgn0000326	25.86	3.19	2.64	4.7	clt	CG9858	chr2R	17504566	17506564	-
FBgn0000330	32.52	11.77	9.52	11.46	cm	CG3035	chrX	6903344	6905168	-
FBgn0000337	4.48	1.03	1.22	0.5	cn	CG1555	chr2R	3670302	3672711	-
FBgn0000338	11.17	2.91	4.18	2.76	cnc	CG17894	chr3R	19011300	19047683	-
FBgn0000339	72.43	51.65	40.22	43.56	cni	CG5855	chr2L	16309594	16310736	-
FBgn0000346	0.65	2.95	3.56	4.77	comt	CG1618	chrX	13153028	13156527	+
FBgn0000351	8.91	8.22	2.9	1.19	cort	CG11330	chr2L	6674637	6676635	-
FBgn0000352	53.16	23.24	15.47	9.42	cos	CG1708	chr2R	3269669	3274617	-
FBgn0000355	0.06	0	0	0.06	Cp15	CG6519	chr3L	8721581	8722166	+
FBgn0000356	0	0	0	0	Cp16	CG6533	chr3L	8724842	8725699	+
FBgn0000357	1.42	0.67	1.16	1.64	Cp18	CG6517	chr3L	8719891	8720713	+
FBgn0000358	0.05	0	0	0	Cp19	CG6524	chr3L	8722965	8723704	+
FBgn0000359	0	0	0	0	Cp36	CG1478	chrX	8373390	8374333	+
FBgn0000360	0.05	0.14	0.2	0.72	Cp38	CG11213	chrX	8375870	8377344	+
FBgn0000363	0.15	4.57	9.36	0.89	cpo	CG31243	chr3R	13757595	13841501	+
FBgn0000370	46.73	162.2	152.92	156.05	crc	CG8669	chr2L	21310854	21319536	+
FBgn0000376	42.63	14.62	9.08	8.48	crm	CG2714	chrX	2628277	2632810	-
FBgn0000377	81.32	57.14	40.33	37.87	crn	CG3193	chrX	2141610	2144014	-
FBgn0000382	14.74	7.34	12.68	7.42	csw	CG3954	chrX	1988269	2007698	+
FBgn0000384	18.47	14.56	12.09	6.02	cta	CG17678	chr2L	22874534	22885080	+
FBgn0000392	57.47	8.16	9.31	10.85	cup	CG11181	chr2L	6663965	6674790	+
FBgn0000394	15.84	31.49	25.32	17.21	cv	CG12410	chrX	5584029	5587117	+
FBgn0000395	1.44	3.4	4.04	3.18	cv-2	CG15671	chr2R	17242520	17266967	-
FBgn0000404	517.95	380.15	116.63	35.74	CycA	CG5940	chr3L	11820297	11826677	-
FBgn0000405	719	213.16	82	33.49	CycB	CG3510	chr2R	18691027	18694490	-
FBgn0000406	5.48	3.37	1.85	4.84	Cyt-b5-r	CG13279	chr2L	16788857	16790718	-
FBgn0000409	372.47	81.71	52.44	76.31	Cyt-c-p	CG17903	chr2L	16719874	16722659	+
FBgn0000411	63.75	14.73	8.43	3.73	D	CG5893	chr3L	14168701	14171720	-
FBgn0000412	566.68	288.84	113.26	53.23	D1	CG9745	chr3R	5063805	5066376	-
FBgn0000413	73.77	75.78	54.95	27.75	da	CG5102	chr2L	10388078	10392786	+
FBgn0000414	27.85	13.15	9.99	5.64	Dab	CG9695	chr3L	16706242	16717089	+
FBgn0000416	323.66	197.47	153.17	130.26	Sap-r	CG12070	chr3R	26709186	26714795	-
FBgn0000422	0.07	0.23	0.37	0.51	Ddc	CG10697	chr2L	19116480	19120300	-
FBgn0000426	265.63	195.29	94.45	91.99	DebB	CG16792	chr2R	8071349	8071778	-
FBgn0000427	0.26	0.02	0.04	0.05	dec-1	CG2175	chrX	7761229	7767255	-
FBgn0000439	6.91	4.92	2.72	1.59	Dfd	CG2189	chr3R	2617558	2628153	+
FBgn0000442	0.15	0.16	0.21	0.31	Pkg21D	CG3324	chr2L	786153	790795	-
FBgn0000447	55.76	34	30.56	32.22	Dhod	CG9741	chr3R	4477113	4478992	-
FBgn0000448	0.04	8.89	43.56	18.36	Hr46	CG33183	chr2R	6092941	6124853	-
FBgn0000449	36.01	6.61	0.77	0.37	dib	CG12028	chr3L	4062304	4064302	+
FBgn0000451	0.03	13	8.43	26.92	ect	CG6611	chr3L	10183376	10194934	-
FBgn0000454	28.16	4.04	2.21	6.83	Dip-B	CG9285	chr3R	9608012	9611401	+
FBgn0000455	21.89	20.13	12.25	8.44	Dip-C	CG5663	chr3R	8237527	8239460	-
FBgn0000459	7.98	14.88	14.31	6.68	disco	CG9908	chrX	16104631	16110767	-
FBgn0000463	112.92	50.45	15.31	1.44	Dl	CG3619	chr3R	15128453	15151935	-
FBgn0000464	12.23	5.82	7.91	4.04	Lar	CG10443	chr2L	19606569	19731561	+
FBgn0000472	54.46	107.24	165.08	15.48	dm	CG10798	chrX	3267216	3280049	+
FBgn0000473	0.23	2.78	2.52	1.05	Cyp6a2	CG9438	chr2R	2667220	2668960	-
FBgn0000477	47.79	53.73	18.41	9.98	DNaseII	CG7780	chr3R	13845099	13846883	+
FBgn0000479	5.91	0.5	1.17	0.45	dnc	CG32498	chrX	3070475	3233360	+
FBgn0000482	22.03	23.91	20.56	18.46	dor	CG3093	chrX	1559088	1562487	+
FBgn0000489	46.14	0.09	0.02	0.02	Pka-C3	CG6117	chr3L	15918904	15947897	-
FBgn0000490	1.93	6.42	6.11	2.3	dpp	CG9885	chr2L	2428454	2459609	+
FBgn0000492	0.21	25.92	26.61	9.19	Dr	CG1897	chr3R	25382109	25391007	+
FBgn0000497	1.32	10.98	13.05	6.12	ds	CG17941	chr2L	640021	714968	-
FBgn0000499	63.53	38.97	37.19	30.45	dsh	CG18361	chrX	11249914	11252759	+
FBgn0000500	0.12	0.08	0.09	0	Dsk	CG18090	chr3R	15388	16170	-
FBgn0000504	0.25	0.45	1.12	0.17	dsx	CG11094	chr3R	3750045	3793130	-
FBgn0000520	23.95	31.26	27.29	23.48	dwg	CG2711	chrX	2621733	2624092	+
FBgn0000524	16.75	28.44	22	12.66	dx	CG3929	chrX	6428043	6432615	+
FBgn0000527	0.06	0.1	0.25	1.28	e	CG3331	chr3R	17055552	17062900	-
FBgn0000529	0.03	0.1	0.09	0.17	bsh	CG10604	chr2L	19765776	19769067	-
FBgn0000533	56.53	1.54	1.87	3.41	ea	CG4920	chr3R	11154452	11156135	+
FBgn0000535	0.26	1.22	1.52	0.2	eag	CG10952	chrX	14865289	14899359	+
FBgn0000536	15.79	14.61	18.73	24.52	eas	CG3525	chrX	16172360	16179654	+
FBgn0000541	58.69	84.92	66.68	15.27	E(bx)	CG32346	chr3L	234101	246901	-
FBgn0000542	19.12	18.75	19.02	12.81	ec	CG2904	chrX	3705976	3751658	+
FBgn0000543	29.9	33.51	29.53	33.53	ecd	CG5714	chr3L	2263581	2265811	-
FBgn0000546	15.87	19.97	19.66	3.96	EcR	CG1765	chr2R	1977924	2056681	-
FBgn0000547	105.06	101.3	78.09	15.23	ed	CG12676	chr2L	4031379	4115059	+
FBgn0000551	0.82	9.26	7.24	4.61	Edg78E	CG7673	chr3L	21289863	21290903	-
FBgn0000552	0.05	0.11	0.29	0	Edg84A	CG2345	chr3R	2510172	2510855	+
FBgn0000556	7754.9	9011.08	9040.25	9130.12	Ef1alpha48D	CG8280	chr2R	7779597	7783025	+
FBgn0000557	2.58	3.27	4.29	4.48	Ef1alpha100E	CG1873	chr3R	27564190	27569028	+
FBgn0000559	2981.82	2502.85	2658.28	3343.51	Ef2b	CG2238	chr2L	21678097	21682150	-
FBgn0000560	0.06	0.61	0.56	0.38	eg	CG7383	chr3L	21801803	21811081	+
FBgn0000562	6.46	17.14	33.73	37.25	egl	CG4051	chr2R	19622427	19634348	-
FBgn0000564	0	0.03	0	0	Eh	CG5400	chr3R	13272364	13275250	-
FBgn0000565	27.77	24.83	47.98	51.81	Eip71CD	CG7266	chr3L	15504153	15506302	+
FBgn0000566	97.98	50.17	56.47	127.2	Eip55E	CG5345	chr2R	14515399	14516784	+
FBgn0000567	0.02	1.16	2.09	0.8	Eip74EF	CG32180	chr3L	17553258	17612407	-
FBgn0000568	0.95	17.35	52.75	11.78	Eip75B	CG8127	chr3L	17945063	18052698	-
FBgn0000575	103.12	282.72	257.53	81.27	emc	CG1007	chr3L	749406	753505	+
FBgn0000576	8.06	20.44	9.19	4.13	ems	CG2988	chr3R	9727581	9730346	+
FBgn0000577	14.19	11.45	8.25	4.39	en	CG9015	chr2R	7411509	7415715	-
FBgn0000578	62.73	29.45	27.25	7.83	ena	CG15112	chr2R	15029140	15050124	+
FBgn0000579	70.74	95.72	217.83	584.3	Eno	CG17654	chr2L	1724974	1729629	-
FBgn0000581	59.68	44.12	41.6	16.14	E(Pc)	CG7776	chr2R	7339722	7351535	+
FBgn0000588	50.47	11.95	5.05	3.41	esc	CG14941	chr2L	11827180	11829402	-
FBgn0000591	22.27	91.16	23.28	6.16	E(spl)	CG8365	chr3R	21866046	21866585	+
FBgn0000592	0.17	0.39	1.03	0.74	Est-6	CG6917	chr3L	12181935	12183681	+
FBgn0000594	3.07	1.82	1.05	0.55	Est-P	CG17148	chr3L	12183838	12185528	+
FBgn0000606	60.15	4.09	3.33	1.68	eve	CG2328	chr2R	5866746	5868284	+
FBgn0000611	108.04	137.42	95.31	50.22	exd	CG8933	chrX	15886520	15890040	+
FBgn0000615	24.91	0.45	0.57	0.86	exu	CG8994	chr2R	16554924	16558379	-
FBgn0000617	89.88	77.16	55.39	37.78	e(y)1	CG6474	chrX	17736208	17737384	+
FBgn0000618	74.56	47.63	22.65	22.18	e(y)2	CG15191	chrX	11470148	11470628	-
FBgn0000625	0.1	2.36	3.29	1.35	eyg	CG10488	chr3L	12456132	12461121	-
FBgn0000629	36.86	21.54	13.75	12.2	E(z)	CG6502	chr3L	10627675	10631230	-
FBgn0000630	0.1	0.6	0.7	1.6	f	CG5424	chrX	17146178	17174997	+
FBgn0000633	2.97	5.86	5.87	1.19	fas	CG17716	chr2R	9510593	9636882	+
FBgn0000634	55.17	38.65	37.51	17.11	Fas1	CG6588	chr3R	12450948	12465493	+
FBgn0000635	7.06	39.33	54.03	24.13	Fas2	CG3665	chrX	4028405	4100123	-
FBgn0000636	0.54	67.27	87.43	47.29	Fas3	CG5803	chr2L	18320101	18392575	+
FBgn0000639	0.27	0.01	0.01	0.01	Fbp1	CG17285	chr3L	14087686	14091156	-
FBgn0000640	0.03	0.07	0	0	Fbp2	CG3763	chr2L	9426860	9427836	+
FBgn0000644	2.39	2.2	2.49	3.12	Fcp3C	CG4015	chrX	3067409	3069631	-
FBgn0000658	11.67	22.22	14.58	7.85	fj	CG10917	chr2R	14120268	14123816	+
FBgn0000659	33.37	13.15	10.14	2.29	fkh	CG10002	chr3R	24406805	24410834	-
FBgn0000662	72.6	72.32	50.85	32.73	fl(2)d	CG6315	chr2R	9707129	9712059	-
FBgn0000667	41.19	32.43	46.3	110.67	Actn	CG4376	chrX	1919127	1936344	-
FBgn0000709	28.92	22.59	24.4	23.9	fliI	CG1484	chrX	21210823	21216117	+
FBgn0000711	28.81	9.14	14.43	12.55	flw	CG2096	chrX	10279966	10302119	+
FBgn0000715	0.02	0.05	0	0.07	Fmrf	CG2346	chr2R	5793796	5797969	+
FBgn0000719	14.41	7.73	10.65	7.61	fog	CG9559	chrX	22227998	22257020	-
FBgn0000721	67.56	20.24	11.39	12.9	for	CG10033	chr2L	3622071	3656951	-
FBgn0000723	3.83	10.64	17.1	18.56	Fps85D	CG8874	chr3R	5193321	5220265	-
FBgn0000808	2.09	0.03	0.02	0.02	gd	CG1505	chrX	11879567	11881780	-
FBgn0000810	23.82	39.46	26.39	11.38	fs(1)K10	CG3218	chrX	2136137	2140079	+
FBgn0000826	11.05	1.2	1.33	0.94	png	CG11420	chrX	1250521	1251646	-
FBgn0000927	17.01	0.2	0.27	0.89	fs(1)Ya	CG2707	chrX	2618319	2620614	+
FBgn0000928	0.6	0.51	1.09	2.17	fs(1)Yb	CG2706	chrX	2614501	2618192	+
FBgn0000964	0.01	0.21	0.52	0.5	tj	CG10034	chr2L	19464580	19467758	+
FBgn0000986	66.82	37.13	30.26	8.09	Fs(2)Ket	CG2637	chr2L	20734915	20739779	+
FBgn0000996	178.94	66.12	18.73	15.84	dup	CG8171	chr2R	11264124	11268465	-
FBgn0001075	4.32	14.98	25.44	10.7	ft	CG3352	chr2L	4198402	4217852	-
FBgn0001077	81.73	5.63	1.85	0.28	ftz	CG2047	chr3R	2690046	2691950	+
FBgn0001078	31.55	2.1	1.02	0.73	ftz-f1	CG4059	chr3L	18745014	18791831	-
FBgn0001079	40.19	15.97	12.42	9.66	fu	CG6551	chrX	18551787	18555263	+
FBgn0001083	0.95	1.26	2.25	6.16	fw	CG1500	chrX	11886948	11897943	-
FBgn0001084	8.85	7.71	4.1	3.15	fy	CG13396	chr2L	8401446	8403442	-
FBgn0001085	28.62	25.22	34.16	12.38	fz	CG17697	chr3L	14267447	14361748	+
FBgn0001086	348.42	146.19	44.9	13.18	fzy	CG4274	chr2L	16310929	16313097	+
FBgn0001087	18.9	5.84	10.91	4.84	g	CG10986	chrX	13621236	13630311	-
FBgn0001089	0.34	4.42	1.92	3.8	Gal	CG9092	chr2L	6003574	6006791	-
FBgn0001090	861.66	941.25	2215.92	1692.33	bnb	CG7088	chrX	18688541	18691712	-
FBgn0001091	72.63	10.38	7.95	43.1	Gapdh1	CG12055	chr2R	3679403	3680885	-
FBgn0001092	102.31	17.93	14.68	93.9	Gapdh2	CG8893	chrX	15762178	15763694	+
FBgn0001098	132.38	22.66	25.81	140.23	Gdh	CG5320	chr3R	19761680	19768824	-
FBgn0001099	24.5	12.56	9.74	6.44	gdl	CG33756	chr3L	15502545	15503937	+
FBgn0001104	276.67	147.67	63.6	42.02	G-ialpha65A	CG10060	chr3L	6965844	6973153	-
FBgn0001105	203.34	103.15	108.41	22.21	Gbeta13F	CG10545	chrX	15754159	15756919	+
FBgn0001108	20.36	16.62	16.86	14.28	Gl	CG9206	chr3L	13922489	13927756	+
FBgn0001112	0.59	0.56	0.96	1.18	Gld	CG1152	chr3R	3077771	3091423	-
FBgn0001114	0.37	39.87	18.4	92.21	Glt	CG9280	chr2L	8672043	8676811	+
FBgn0001120	32.74	1.66	0.39	0.33	gnu	CG5272	chr3L	14795480	14796457	-
FBgn0001122	14.74	15.04	16.61	5.38	G-oalpha47A	CG2204	chr2R	6325466	6351297	+
FBgn0001123	40.17	86.37	71.06	58.7	G-salpha60A	CG2835	chr2R	19830064	19834459	+
FBgn0001124	90.11	11.11	16.24	68.4	Got1	CG8430	chr2R	12025857	12029439	+
FBgn0001125	10.23	4.52	3.41	19.6	Got2	CG4233	chr2L	1984512	1987761	-
FBgn0001128	20.98	15.82	17.13	16.43	Gpdh	CG9042	chr2L	5943682	5949092	+
FBgn0001133	30.78	26.25	25.63	30.11	grau	CG33133	chr2R	16897271	16899424	-
FBgn0001134	0.05	0.06	0.01	0.08	Grd	CG7446	chr3L	17822058	17831993	+
FBgn0001137	3.77	6.55	4.53	4.97	grk	CG17610	chr2L	8431086	8433598	-
FBgn0001138	0.73	5.3	7.97	2.38	grn	CG9656	chr3R	3973072	4007164	-
FBgn0001139	166.19	60.24	36.98	11.87	gro	CG8384	chr3R	21867432	21875634	+
FBgn0001142	79.63	120.98	216.16	172.36	Gs1	CG2718	chr2L	132060	134472	+
FBgn0001145	2.16	3.34	3.77	6.47	Gs2	CG1743	chrX	11316888	11324228	+
FBgn0001147	0.58	11.05	8.6	3.88	gsb-n	CG2692	chr2R	20927905	20939850	-
FBgn0001148	27.56	67.73	13.75	4.01	gsb	CG3388	chr2R	20949503	20951985	+
FBgn0001149	86.18	11.01	12.56	48.95	GstD1	CG10045	chr3R	8193269	8194987	-
FBgn0001150	46.45	5.55	2.69	1.81	gt	CG7952	chrX	2321140	2322996	-
FBgn0001168	37.74	25.85	65.53	21.6	h	CG6494	chr3L	8668859	8672339	+
FBgn0001169	36.52	19.31	19.2	5.09	H	CG5460	chr3R	16447665	16454637	+
FBgn0001170	0.08	22.63	11.71	6.51	H2.0	CG11607	chr2L	6013057	6019398	-
FBgn0001174	298.42	2.07	0.16	0.15	halo	CG7428	chr2L	1517532	1518184	-
FBgn0001179	31.06	19.54	15.19	14.39	hay	CG8019	chr3L	10624227	10627069	+
FBgn0001180	53.7	27.3	10.69	1.89	hb	CG9786	chr3R	4517038	4523540	-
FBgn0001185	18.39	24.82	16.41	9.55	her	CG4694	chr2L	16677210	16679932	+
FBgn0001186	24.37	17.84	47.08	40.64	Hex-A	CG3001	chrX	9479918	9482437	+
FBgn0001187	0.64	0.87	1.11	1.16	Hex-C	CG8094	chr2R	11106340	11107917	-
FBgn0001189	17.53	33.51	40.9	39.23	hfw	CG3095	chrX	1563626	1567144	+
FBgn0001197	1218.47	1503.97	791.59	345.57	His2Av	CG5499	chr3R	22692653	22694630	+
FBgn0001202	36.36	25.56	19.91	22.82	hk	CG10653	chr2L	19030838	19033495	-
FBgn0001203	0.26	0.35	0.16	0.03	Hk	CG32688	chrX	10132277	10148337	-
